Epoch,Train Loss,Validation Loss,Train Disease Loss,Train Lesion Loss,Validation Disease Loss,Validation Lesion Loss
1,0.511697941042226,0.029092051088809967,0.018030921157834858,0.9873340372638456,0.006450220049979786,0.04528366153438886
2,0.4975851210926113,0.02617942200352748,0.014938588551213515,0.9652930563636895,0.0043519086902961135,0.04365502670407295
3,0.488479728071854,0.02341324184089899,0.01366776342760643,0.9496239292724379,0.0029549955506809056,0.040916491920749344
4,0.4809702143779603,0.021884514018893242,0.012839961399581155,0.9362604966194465,0.002201889961725101,0.03936524813373884
5,0.4796619604759175,0.020354561197261017,0.012171457102120822,0.9349810108542442,0.001696214346641985,0.037316693303485714
6,0.46980607972062866,0.019220048561692238,0.011463675373996576,0.9166848100079544,0.0014313486899482086,0.03557739903529485
7,0.45943725497686655,0.01815865732108553,0.010903146708030897,0.8970682202870476,0.0012200864269592178,0.033877141773700714
8,0.47201909738239545,0.01766164492194851,0.01048786804011766,0.9230624689752686,0.0011716273123359617,0.03298003568003575
9,0.4470585671670992,0.01693383806074659,0.009866328419242376,0.874384477863024,0.00112896542790016,0.031609745075305305
10,0.4564738267197691,0.015899989909181993,0.009456587517292817,0.8940344674448515,0.0010076389019862593,0.029784702075024445
11,0.43773624130749494,0.015223849564790726,0.008702516030913604,0.8580674557336445,0.0009371898340759799,0.02857331931591034
12,0.5779174314811826,0.014488561699787775,0.010134901308980449,1.1355650473771424,0.0008511960792626875,0.027274731546640396
13,0.41838198206548033,0.01401819164554278,0.007759093504664007,0.8212457730852324,0.0008053968467720551,0.026425589186449844
14,0.410126069673048,0.01294594289114078,0.007385392190591465,0.8054813590093419,0.0006987175887237148,0.02449445053935051
15,0.40372850264197796,0.012358891932914654,0.00717557282217152,0.793105849032772,0.0006827363386037177,0.023352311613659065
16,0.39628544247484415,0.011523297056555748,0.006860596175227266,0.7788497045764635,0.0006271731087205504,0.021792247736205656
17,0.38989666316272886,0.011377292219549417,0.006727005204021256,0.7663393205609815,0.0006369998912608329,0.021480584206680458
18,0.3823464595680607,0.010395548306405544,0.006560662875236976,0.751571598719677,0.0005427036545976686,0.019705689046531916
19,0.3754722638665859,0.010059311442698041,0.0063897091411114345,0.7381650968615351,0.0005577030372781641,0.0190032166428864
20,0.36810214293253574,0.009680893970653415,0.0062612421500896995,0.7236818076946355,0.0005471401809700183,0.018267507664859295
21,0.3615301214158535,0.00939234516893824,0.006167327388452734,0.7107255958373947,0.0005416544563559,0.017701381041357916
22,0.3550046675051723,0.008985059025386969,0.006128948438784172,0.6977514423397851,0.0005126132249036649,0.016944891617943842
23,0.3482338032797621,0.008692590131734809,0.006097706554006938,0.6842721962402093,0.0005182300877398424,0.01634871990730365
24,0.34126621015883724,0.008391157956793904,0.0060276854404445,0.6704770376873684,0.0005041425805150842,0.015774030704051256
25,0.3351969104501066,0.008260793363054594,0.00593400543082931,0.6585258200828885,0.0004987073819696283,0.015524172068883976
26,0.32880679660894235,0.007900303384910027,0.005880982104176367,0.6458516338005148,0.0005111054997541942,0.014778395804266134
27,0.32538603410799183,0.0077285846540083485,0.005906326046960172,0.6389594022586043,0.0004931029604146412,0.014470963428417841
28,0.3172502669441546,0.007566295176123579,0.005796317602226767,0.622907900749224,0.0004831844222887109,0.014166221798708042
29,0.3116092832140817,0.007133779659246405,0.005721149792501317,0.611776276162408,0.0005313000595682146,0.013204959221184254
30,0.3072176797572395,0.007142530521377921,0.005748751477171779,0.6029378596275788,0.0005554553135880269,0.013174150604754686
