Epoch,Train Loss,Validation Loss,Train Disease Loss,Train Lesion Loss,Validation Disease Loss,Validation Lesion Loss
1,0.4965502716087062,0.03379045116404692,0.053055694583674956,0.886989155880593,0.023700991024573643,0.020178919037183125
2,0.4507366569134696,0.02736970130354166,0.042205127213021804,0.8170630456398016,0.01854297813648979,0.017653446334103744
3,0.413119625300169,0.022866674078007538,0.033312564523055636,0.7596141180376811,0.014966714816788832,0.015799918056776125
4,0.5066356371831278,0.018939814995974302,0.028100680881019295,0.9570699147398358,0.011725412060817083,0.014428805792704225
5,0.3395226850206482,0.015928727031374972,0.020018994615509593,0.6390073808745064,0.009175080029914776,0.013507294216348479
6,0.3229456422529344,0.01363149929481248,0.01615145577695863,0.61358837100902,0.007130338267112772,0.013002322511359429
7,0.27752121512232153,0.011914208453769485,0.012095230069525283,0.530851973220706,0.00561352469958365,0.012601367488969117
8,0.2491895414744343,0.010433586624761423,0.009327279576421555,0.479724532418788,0.004308101662900299,0.012250969506567344
9,0.2301398678963747,0.009363538275162378,0.007693242771422555,0.44489325096445353,0.0033513655459197858,0.012024344934616238
10,0.20729924554551213,0.008541492104995996,0.006303261347307727,0.4019919756783879,0.0026972409687004983,0.011688502553928023
11,0.1904984068382403,0.007801222411217168,0.0053519766279977975,0.3702928584614961,0.002141495681523035,0.011319453575803587
12,0.17854470160693445,0.007243542796156059,0.004684624402655353,0.34772015233917547,0.0018032822602738936,0.010880521023257947
13,0.16542950575641388,0.006791224344245468,0.00414589685307623,0.32256722361941276,0.001545383075911862,0.010491682750095302
14,0.15639670319646468,0.006348560952271025,0.003720605408708597,0.3053521985019525,0.001340383299975656,0.01001635529488946
15,0.149917898496918,0.005952334594136725,0.003565328446586199,0.2927051430893259,0.0011818766385355655,0.009540916216792539
16,0.14314618641997343,0.005638164409901947,0.0032334637205700535,0.2798254417901513,0.0010617095346484955,0.009152909740805626
17,0.1378726862162223,0.00546412145680127,0.0031233577620727814,0.26949865711202586,0.001018370917639307,0.008891500998288393
18,0.18641935515915975,0.005189178298072268,0.003323084945742298,0.36619254732143197,0.0009135157233686186,0.008551325066946447
19,0.12907839628490458,0.005097835809768488,0.002776187870667541,0.25260441492418034,0.000922165418160148,0.008351340734710297
20,0.12381525386670797,0.004919327252234022,0.0025568438502197185,0.24251682299052782,0.0008597156435522871,0.008119223096097508
21,0.12085826971752826,0.004822685509376849,0.0024783200135751597,0.23675990215495654,0.0008366839526085338,0.007972003251779824
22,0.11644623765384714,0.004760336518908541,0.0023424806081336633,0.22820751487723037,0.0008166266792007567,0.007887419643035779
23,0.11422966962182445,0.0047068610923209535,0.0022141405327068962,0.2240310584592376,0.0008017558902793098,0.007810210382255415
24,0.11048157314834153,0.00462491010936598,0.0020997909069310166,0.21676356919362724,0.0007545923411574525,0.0077406356382804615
25,0.1088535839727887,0.0046132706726590795,0.0020055220003745615,0.21369611913366404,0.0007394372514681891,0.007747666968498379
26,0.10648470654569824,0.00460835713117073,0.0018912936753497042,0.2091868247371167,0.0007379835697065573,0.007740746873120467
27,0.10387006622552471,0.004605436328953753,0.0017815172339333944,0.2041770988786272,0.0007269320922205225,0.0077570083473498625
28,0.10108027993580969,0.004584514885209501,0.0017060071951508972,0.19874854372505196,0.0007129901302202294,0.00774304954878365
29,0.09853960157087041,0.004593438265146688,0.0016188815060841394,0.1938414424798323,0.0006828482219134457,0.007821180101018399
30,0.09694084211389117,0.00461596850072965,0.001580923539285291,0.1907198328488699,0.0006597712708753534,0.00791239459067583
