Model,Input,Disease R2,Disease RMSE,Disease MAE,Disease MSE,Lesion R2,Lesion RMSE,Lesion MAE,Lesion MSE,Parameters,Best_Val_Epoch,Best_Val_Loss
QLSTM (Metadata-Only),23 Metadata,0.6764821410179138,0.04683433199080215,0.027777422219514847,0.0021934546530246735,0.17275577783584595,168737.0589763849,134563.71875,28472195072.0,2722,50,0.040375701462229095
QLSTM (Vit-Only),768 ViT,0.0054375529289245605,0.08211665022366421,0.059324994683265686,0.006743144243955612,-0.04479658603668213,189631.0604094171,158299.390625,35959939072.0,14642,23,0.07979588148494561
QLSTM (Multimodal),768 ViT + 23 Metadata (791),0.8400741815567017,0.032928693061737103,0.025093263015151024,0.0010842988267540932,0.6366246342658997,111833.35259214936,80246.7265625,12506698752.0,15010,39,0.01908615045249462
