Epoch,Train Loss,Validation Loss,Train Disease Loss,Train Lesion Loss,Validation Disease Loss,Validation Lesion Loss
1,0.5668111512887066,0.08446566388010979,0.049143149485361984,1.0353359893478196,0.009102835785597563,0.15072565774122873
2,0.5253175942805307,0.08137749756375949,0.03989314138568167,0.9708489117951229,0.006378020858392119,0.14999895294507345
3,0.519507744445883,0.07850901782512665,0.035077469776673566,0.9688605661022252,0.004325627698563039,0.148366779088974
4,0.5136337034918111,0.0760939543445905,0.03116473253687908,0.9649379422952389,0.0028618909806633988,0.14646412680546442
5,0.5460745398083637,0.07427509004871051,0.030374140952360528,1.0314007974390327,0.001796148921130225,0.14495788142085075
6,0.5226074022979572,0.07316149460772674,0.02713721244322971,0.9909403855944502,0.0010964777902700007,0.14413003250956535
7,0.6570686618315762,0.07185468884805839,0.027093518637763016,1.2599502948337589,0.0006989216684208562,0.14231153577566147
8,0.49710162729024887,0.07098177385826905,0.02087899618220098,0.9524452758246454,0.000507596855944333,0.14094835768143335
9,0.4926939764670257,0.06946347778042157,0.019350252221619454,0.9466874607164284,0.0004637913061742438,0.13799937069416046
10,0.4900579736407461,0.06874744966626167,0.018143297239319133,0.9438293568533043,0.0005147643641976174,0.13646536941329637
11,0.48639165340312596,0.06705700792372227,0.01698320946236671,0.9388168677687645,0.0006091678793988345,0.1328956795235475
12,0.4836331306603448,0.06558262618879478,0.016153861247685513,0.9349585237174198,0.0007264169283492569,0.12971241772174835
13,0.4808603645912532,0.06407314352691174,0.015399367514905392,0.9309219926081854,0.0008502753397200044,0.1264457367360592
14,0.4785263424032721,0.06299179171522458,0.01473559579884248,0.9275814913984003,0.0009826613396247315,0.12401825934648514
15,0.47600970931094266,0.06155042660733064,0.014228015509835476,0.9235634004761433,0.0010993178760448548,0.12090221668283145
16,0.4731806742733923,0.05979244038462639,0.013688905939363456,0.9189835350061285,0.0011684258715831675,0.11724802975853284
17,0.47149821550681675,0.05788641422986984,0.013347482817058836,0.9163014757735976,0.00122767337870755,0.11331748093167941
18,0.4686075949977184,0.05605940024058024,0.01304236081818215,0.9111304694208605,0.001278726892148067,0.10956134771307309
19,0.4641146068942958,0.054025208577513695,0.01267398953746908,0.9028812341135124,0.001311120534107128,0.10542817786335945
20,0.4606300392027559,0.0520796092847983,0.012387848067787829,0.8964843896442446,0.0013360365095043865,0.10148714606960614
21,0.45654073408965407,0.05002950504422188,0.01214974433793847,0.8887819571998613,0.0013509570077682536,0.09735709677139918
22,0.4528053479333376,0.04810848024984201,0.011910184590619636,0.8817903408459549,0.001362392315058969,0.09349217638373375
23,0.45176133410683994,0.04600129400690397,0.011760807561021748,0.8800010552694058,0.0013735984078569647,0.08925539130965869
24,0.4475903907341176,0.04385621286928654,0.011516932543599978,0.8721469183420313,0.0013482898126918978,0.08501584517459075
25,0.5517242141710273,0.04144736627737681,0.01511560113907888,1.0732172456537854,0.0013205781306169229,0.08025357623895009
26,0.43284440336042435,0.039551496195296444,0.011097438216454284,0.8434939437128347,0.0013167896067898255,0.07646941393613815
27,0.42549681920429755,0.03705194561431805,0.010805026158401421,0.8293835963925411,0.0012747782247970463,0.07155433483421803
28,0.4467877309512475,0.03417928206423918,0.011487749417248214,0.8705999512096931,0.0012114493589857982,0.06593566449979942
29,0.41112522642802574,0.03207932350536188,0.010061031538623803,0.8021283822198366,0.0011899428827746306,0.06177875958383083
30,0.4042649034667632,0.029747862679262955,0.009693709392791036,0.7891423843544105,0.001166965434094891,0.05716179435451826
