rank,model,modality,input_dim,val_loss,val_disease_mse,val_lesion_mse,best_epoch,disease_r2,disease_rmse,lesion_r2,lesion_rmse,parameter_count,checkpoint_path
1,Metadata-only LSTM,metadata,23,0.005655359476804733,0.0002814895945449258,769630976.0,50,0.8948632478713989,0.02669884351454108,0.8865059018135071,62500.02854399348,7362,checkpoints/ablation/metadata_lstm.pth
2,Metadata-only QLSTM,metadata,23,0.014192978851497173,0.00020844069728703874,3551922176.0,50,0.8776335120201111,0.02880357541002127,0.36089766025543213,148312.85764895772,2722,checkpoints/ablation/metadata_qlstm.pth
3,Multimodal QLSTM,multimodal,791,0.01908615045249462,0.0006594166759736048,3705292032.0,39,0.8400741815567017,0.032928693061737103,0.6366246342658997,111833.35259214936,15010,checkpoints/ablation/multimodal_qlstm.pth
4,ViT-only QLSTM,vit,768,0.03620105112592379,0.0019439606244352416,4931197952.0,50,0.7269244194030762,0.0430285433326251,0.4380468726158142,139073.25908311777,14642,checkpoints/ablation/vit_qlstm.pth
5,Multimodal LSTM,multimodal,791,0.4875882218281428,0.0391576848181532,29299103744.0,28,-4.589559555053711,0.19467222169103812,0.3608948588371277,148313.18905613216,105666,checkpoints/ablation/multimodal_lstm.pth
6,ViT-only LSTM,vit,768,0.6434464131792387,0.06159247534128015,7118670336.0,47,-3.437230110168457,0.17344874332688337,0.35344183444976807,149175.46779547902,102722,checkpoints/ablation/vit_lstm.pth
