,MSE,RMSE,MAE,R2
RNN,0.0033793341532481697,0.058132040676791744,0.030848397291748018,0.6638714345223989
LSTM,0.0014465335342549865,0.038033321367650585,0.017750099580979974,0.8561192176520858
GRU,0.0033025365170199473,0.05746769977143636,0.046348832974830174,0.6715101817213556
QLSTM,0.0014944565023263248,0.03865820097115649,0.02808323441411408,0.8513525157573457
