Epoch,Train Loss,Validation Loss
1,0.009764476308895785,0.07056227475238432
2,0.006041730086449646,0.06812243476243955
3,0.00443944725913987,0.05986357182856799
4,0.003105598405630688,0.0675131013194914
5,0.0034648823352800982,0.050650818090486736
6,0.004362916456762656,0.06614529704945328
7,0.0038599586104899044,0.0742341183109342
8,0.003544958388139944,0.06804867805996244
9,0.0026418836045664766,0.0596621395629232
10,0.002955062326603389,0.0758423541576901
11,0.0032550030863926476,0.052619436473053484
12,0.0038895429012970246,0.05625156351431672
13,0.0027494023355933267,0.052367651652145596
14,0.0029629183193338256,0.042054269473218095
15,0.0025879017991809953,0.048250842771916984
16,0.001773428644340921,0.04436572525134709
17,0.0020342902594899397,0.072030103752955
18,0.00287487959271417,0.06057973340752402
19,0.0014941982327370843,0.03285485331850525
20,0.00222506700412205,0.03181338047059918
21,0.0014942621970887207,0.03214245393506384
22,0.0015364686417254439,0.028318077184459462
23,0.0014364160445864164,0.04223270745881434
24,0.0010531601811019373,0.03652911882922386
25,0.0008377754045561174,0.035344716045074165
26,0.00046379986436536014,0.032291587421371205
27,0.000357532514293956,0.033383998219505884
28,0.00039359414759312656,0.03218714450693889
29,0.00039384284689496723,0.03049485505887008
30,0.001254515740231821,0.02436926536133147
