Epoch,Train Loss,Validation Loss,Train Disease Loss,Train Lesion Loss,Validation Disease Loss,Validation Lesion Loss
1,0.7818395100141826,0.6111985430831001,0.027996339619551835,1.0037522281471052,0.019108696674395884,0.8402231690429506
2,0.7223740040471679,0.5470019273814701,0.022137840910765684,1.0019911847616496,0.013098002832737706,0.8320437705232984
3,0.6680820563906118,0.5038645157501811,0.01731219830138511,0.9899201477044507,0.009896716784818895,0.8097947037645749
4,0.6283806857309844,0.47342265574705034,0.014665062098969141,0.9634601302052799,0.00847424922921207,0.7773603168981416
5,0.5906822616332456,0.4470298661007768,0.012594419708598013,0.9294761322046581,0.00777446900610812,0.7385703523953756
6,0.5536806144212422,0.41533201063672703,0.011121897442621717,0.8849232777168876,0.007062154034515732,0.6894209361856892
7,0.5200922901693144,0.3860703556842747,0.010086294461813706,0.8384586932627778,0.006725629851903899,0.6376281141170433
8,0.47588082836254647,0.3515483221660058,0.009174164146258447,0.7682783728367404,0.006231685017978418,0.5784629209499274
9,0.43717881697965294,0.32381650370856124,0.008668391670768247,0.7009898038875115,0.006148255399325751,0.5246678718498775
10,0.3966270763525053,0.29986002140988904,0.007978953207585666,0.6336750834346994,0.005923321224621586,0.48125362014841466
11,0.3588709525862022,0.27661496042717426,0.007536581204285061,0.5670102782204355,0.00575542076114202,0.4381214834838396
12,0.3288369929810104,0.2605347105778665,0.0069981007482917785,0.5177119748960984,0.005619717138956946,0.4086750709074771
13,0.2965489966206645,0.2432435296317895,0.006334406612165223,0.46640986649221494,0.005238720351415049,0.3817126617012989
14,0.2651971706091181,0.23250401608501783,0.005796145408193728,0.41447142853499636,0.005245160894576527,0.3601048110798556
15,0.2445717858738805,0.2229801982120123,0.005301918136415464,0.38310520451662966,0.004971378075597819,0.3465328376277328
16,0.23223905420470004,0.2141486029237664,0.004995784640165144,0.36456241938408074,0.004806225876412403,0.33217268954225193
17,0.21356480694130847,0.20582361483996334,0.00482232201152089,0.3306831777782032,0.004620545177853533,0.3192363173861633
18,0.20286651104198475,0.20059896909653963,0.00442239834427662,0.3172850540594051,0.004555640483539762,0.3100851293753034
19,0.18634313542003694,0.19759177328974364,0.0038834283518984817,0.29501770710033415,0.004585262557156966,0.3034782895951399
20,0.18500730172044744,0.1870914862832121,0.0037271167287958396,0.29547227112404806,0.004234093533731149,0.2895010973470995
21,0.16358372107834407,0.18622935003977978,0.003397838261260308,0.2592106774277789,0.004261775921588109,0.2872231790596353
22,0.15884086611239534,0.17959490839192377,0.0029557186195712636,0.258567361352279,0.004105338870604534,0.27708303918673965
23,0.14502003873992514,0.1804784196262647,0.0026190592706705883,0.23765889641853344,0.004160453701236595,0.277747759814485
24,0.13424239616939113,0.1673677145680856,0.002587962115036422,0.21672555168012256,0.003816368636589253,0.25840806354868356
25,0.12619458284032972,0.16874622819679125,0.0025866600594446555,0.2006559647154063,0.003952990003156066,0.2584326569977704
26,0.12943484505736513,0.1647860796046665,0.002398706004513722,0.21089556940806736,0.0037966545245407836,0.2536390735934089
27,0.12161554591240067,0.16031379059755377,0.002261049900890181,0.19801009483390342,0.003684576012996591,0.24693607199116654
28,0.11172578082861084,0.15933095774657668,0.0019155376737839296,0.1851408077354886,0.0036929536550555247,0.24480283087108373
29,0.10374126258845393,0.15092107362025195,0.001976411263029532,0.16795429798872455,0.003495539132494568,0.23193135609783763
30,0.09474663835901179,0.1519676187363941,0.001827198269127525,0.15294931140532228,0.0035192123799615295,0.23355098945432387
31,0.09999321631499027,0.15491119575398488,0.0016976924619245294,0.1660325839845954,0.0036815475560572288,0.23619143224953273
32,0.09472402260197621,0.1500668888856169,0.0019041651410301901,0.15136474278559417,0.00357106533833541,0.22871246260391281
33,0.09754972421613178,0.14726036760423863,0.0014313771924016213,0.16647190412530968,0.0034755581369349136,0.2250095645126532
34,0.08273246569166842,0.14953322926469678,0.0016333988879954344,0.13279695326560423,0.00355117850752625,0.2280428904230662
35,0.08622413677604575,0.14952553010412625,0.001590259674259486,0.14064307953721206,0.003597183886519079,0.22710738644846493
36,0.09050706916145589,0.1451897733467853,0.0015554657306270918,0.1499048259231801,0.0034793950201544377,0.22079165272658602
37,0.0773869314402538,0.14613647842114524,0.0013911479292896968,0.126950903658412,0.0035389367528426063,0.221494235004121
38,0.08845555259797135,0.14261583593075297,0.0016997078479586267,0.14291694790222928,0.003436112607665737,0.2165094227640934
39,0.0756054644570931,0.14571522757233607,0.001366110146198863,0.1238887265594186,0.0035880088360586556,0.2196702848083251
40,0.07157143419853558,0.1470936701433467,0.001372603134950623,0.11569080643208796,0.0036350074896333916,0.22148719255346805
41,0.07409212162571126,0.14229840673838876,0.0013162856927680733,0.12185852885258532,0.003478820981746096,0.21502039247536145
42,0.07764204307949464,0.14186112364820605,0.001273187690094346,0.12982033181347344,0.003438877492347577,0.21494469417181486
43,0.06934064088977482,0.14304296756052368,0.0014771440202725659,0.10913839998507971,0.003485328252454998,0.216379373927512
44,0.07037005615910809,0.14056267015569443,0.0013550994641263968,0.1136381219974474,0.0034151945181379447,0.212821452362862
45,0.07656055869240509,0.1378067344637765,0.0014488012990975557,0.12414509034715593,0.003359023793087718,0.20843299093013185
46,0.0781964600380314,0.1408937967803684,0.0010980557579099886,0.13443180431097157,0.003467296205815815,0.2124416666892579
47,0.06809213225680746,0.13968529347108588,0.001340004192101524,0.1093841791103937,0.003447511950937388,0.21042034840155838
48,0.06712252614333442,0.13933196529701708,0.0014257438024383431,0.10573017646092922,0.0034254645686901527,0.21015463772207676
49,0.08123859882746873,0.1381943129901109,0.001402165180326464,0.13443389483237345,0.0033893237383121493,0.20860215215223088
50,0.06561307438257101,0.1371306001674384,0.001132343240284459,0.10857928424681487,0.0033800390377845837,0.20666041749341058
