Epoch,Train Loss,Validation Loss
1,0.10726682768602457,0.11666100425645709
2,0.05959821683687291,0.10409717696408431
3,0.03778840421832034,0.09534310052792232
4,0.025655267560588463,0.08926776501660545
5,0.019469312026298473,0.08546973454455535
6,0.014709218904109938,0.08301094624524315
7,0.011478870890901558,0.08012456353753805
8,0.008817891045639823,0.0775068976605932
9,0.007155500961484255,0.07646367481599252
10,0.00576379380488236,0.0758524015545845
11,0.004721554526310813,0.07485562950993578
12,0.003910514509438404,0.07512910089765985
13,0.0032467775391913684,0.07395036177088816
14,0.002669870593568443,0.07362465094774961
15,0.002222064874201481,0.07277135845894615
16,0.0019262374423435955,0.07283477019518614
17,0.001544197510936231,0.07238105296467741
18,0.0013625792614350627,0.07240029921134312
19,0.0011174253223933711,0.0719940875036021
20,0.0009536941641791989,0.07228880003094673
21,0.000847023662052899,0.07184767831737797
22,0.0007032861303741811,0.07139186188578606
23,0.0006041905115645412,0.07142203347757459
24,0.0005150479540004328,0.07137675986935695
25,0.000443765588378093,0.07110934083660443
26,0.00038990864114956433,0.07091661402955651
27,0.00032857365035202486,0.0709083266556263
28,0.0002882708202897837,0.07082419873525699
29,0.0002509901743386373,0.07076660357415676
30,0.00021074389802119446,0.07057111306736867
