Epoch,Train Loss,Validation Loss
1,0.6132800113409758,0.551731526851654
2,0.4949386476406029,0.4803401492536068
3,0.4188373368898673,0.41897017881274223
4,0.37048845259206636,0.37423424795269966
5,0.318596758680152,0.33382287931938964
6,0.2865043544609632,0.29764763700465363
7,0.25849996796543045,0.2746937045206626
8,0.23955760729898298,0.2538884747773409
9,0.22179730625690094,0.23215336042145887
10,0.20601704754933184,0.2193899011860291
11,0.19126180649202848,0.20576104832192263
12,0.1775037746410817,0.20120377962787947
13,0.16940489926907634,0.19276477893193564
14,0.16134284941446303,0.1905199053386847
15,0.15597261703390228,0.1860984843224287
16,0.15196981721757247,0.18375063315033913
17,0.1478448071117912,0.18214633191625276
18,0.14460059683603635,0.17919865374763808
19,0.14105486194603145,0.17684831594427428
20,0.1384585858364257,0.177305913840731
21,0.13620219595031813,0.17572881219287714
22,0.1336926317807021,0.17402406285206476
23,0.13132121956940473,0.17180834151804447
24,0.12729162892459758,0.17020909736553827
25,0.1226901141406935,0.16950743893782297
26,0.11878220694987769,0.16915788128972054
27,0.1154038384494405,0.16958676154414812
28,0.11252501441257275,0.16875934352477392
29,0.11015933335667276,0.16939039652546248
30,0.10833514101562157,0.17012516098717848
