model,modality,input_dim,disease_mse,disease_rmse,disease_mae,disease_r2,lesion_mse,lesion_rmse,lesion_mae,lesion_r2,parameter_count
Metadata-only LSTM,metadata,23,0.0007128282450139523,0.02669884351454108,0.016755560413002968,0.8948632478713989,3906253568.0,62500.02854399348,25799.40625,0.8865059018135071,7362
Metadata-only QLSTM,metadata,23,0.0008296459564007819,0.02880357541002127,0.016877613961696625,0.8776335120201111,21996703744.0,148312.85764895772,95189.734375,0.36089766025543213,2722
ViT-only LSTM,vit,768,0.03008446656167507,0.17344874332688337,0.15016894042491913,-3.437230110168457,22253320192.0,149175.46779547902,118157.03125,0.35344183444976807,102722
ViT-only QLSTM,vit,768,0.0018514555413275957,0.0430285433326251,0.024839898571372032,0.7269244194030762,19341371392.0,139073.25908311777,93593.71875,0.4380468726158142,14642
Multimodal LSTM,multimodal,791,0.037897273898124695,0.19467222169103812,0.15456050634384155,-4.589559555053711,21996802048.0,148313.18905613216,122121.9921875,0.3608948588371277,105666
Multimodal QLSTM,multimodal,791,0.0010842988267540932,0.032928693061737103,0.025093263015151024,0.8400741815567017,12506698752.0,111833.35259214936,80246.7265625,0.6366246342658997,15010
