Epoch,Train Loss,Validation Loss,Train Disease Loss,Train Lesion Loss,Validation Disease Loss,Validation Lesion Loss
1,0.7183135838892597,0.5427046787479649,0.021329554154922683,1.010036086377043,0.011850846275869433,0.8483924405730289
2,0.6425762016039628,0.48289700565130816,0.01642239494182062,0.9567045089430534,0.008924009665624117,0.7873138231427773
3,0.5762328057406614,0.4305678989900195,0.012853909811943036,0.8953874167771294,0.0069600105302727215,0.7219355712118356
4,0.5176431659179238,0.3827642707721047,0.010246759119511877,0.8303511493051281,0.005652007082655631,0.6524884125784688
5,0.4692351111354163,0.34625694269071455,0.008673804849002828,0.7649941281863273,0.005045481266160609,0.5916042597964406
6,0.42440577736124396,0.3125469880178571,0.0074523273157095764,0.699765013745771,0.004539170961379568,0.5343105371069649
7,0.3836965845861974,0.2868859054439742,0.006628157845275732,0.6348300136339206,0.004256820398594478,0.48863540994732274
8,0.34834737934691545,0.25937285058645776,0.006126992257052804,0.5741549141955777,0.0038697666803708,0.44135037708379654
9,0.3170681173349014,0.2390751759217971,0.005800506713477751,0.5181261011950062,0.0036008006099030395,0.40613435021014477
10,0.2861254431325226,0.21957560804287862,0.005439493779144518,0.46346101168623693,0.0034033336279089385,0.37108455159519194
11,0.260624201511606,0.20550214047746165,0.0049046644143555355,0.42315511598672645,0.0033058377492757836,0.3448875295048904
12,0.2410639115036107,0.18975679496677755,0.004695120929822084,0.3882254059202611,0.0031390976675301436,0.3167316421041387
13,0.2133846335256329,0.17586613670953186,0.0038663389382586153,0.3494424878713639,0.002868364304958959,0.2943649796481781
14,0.19496164921124895,0.16485022547472591,0.0037152746400841772,0.31561780458566946,0.0027200374561684643,0.2752997070176365
15,0.17469745562322295,0.15548950976074633,0.003303061716416358,0.28333367372845086,0.002602277842173783,0.25893346003874246
16,0.16298006021175893,0.14701043647136944,0.0030250618822090193,0.2654588819311287,0.0024566283295232847,0.24488829530562964
17,0.14992850695853122,0.13836116430795062,0.00314827427162247,0.236891528817628,0.0023079872463985457,0.23056258461134427
18,0.14379522988635401,0.13179209944412476,0.002846752966783802,0.23065539885339184,0.0022002363236582746,0.21957947381863208
19,0.12429848058896963,0.13023103931893432,0.002116669484866389,0.2062635712656909,0.002310218317174788,0.21425771665172247
20,0.11382487778722022,0.1192403326732228,0.0022647601694048857,0.18235455073478918,0.002024663472045928,0.19798739598912146
21,0.11012674062826242,0.11205165930036658,0.0021127901205773014,0.17799767913675169,0.0018963588621298422,0.1861761431779166
22,0.09972877308945709,0.11816622799075127,0.002251909255601976,0.15441935945105237,0.002119616626497072,0.19394011936864167
23,0.10310352183967972,0.10607269329636398,0.0017563534098511669,0.17107997569445826,0.0018308948950937559,0.17552749449690885
24,0.09409604698101667,0.10596220167201903,0.0018658436733858252,0.15087522042449564,0.0019374290510788105,0.17317582161732667
25,0.08193803632793088,0.10090253708388089,0.00177605414406711,0.12835498968958675,0.0018144755809850683,0.16551556691790567
26,0.08103647633778074,0.10016832023899516,0.0017368178997423035,0.12733659476865655,0.0018102411041067883,0.1641318146544306
27,0.07589666400543557,0.09749463703432727,0.0015857171236068378,0.12007898555356615,0.0017305723884656682,0.16037782941661452
28,0.07051964377079947,0.09171959301760502,0.001294453328192993,0.11515022092722714,0.0016151619120532616,0.15113594412611311
29,0.0692288674651466,0.09053117373664661,0.001657646986691711,0.10530479702888093,0.0016226028680609054,0.14861028554910066
30,0.06921983327125557,0.090222949822656,0.0013138586396053142,0.11216249327844707,0.0016748341242181714,0.14694921619704235
31,0.0877710498126152,0.08751843372137165,0.0014437775424154936,0.14666655118344352,0.0016554624015280633,0.14192762327350109
32,0.06052814162775086,0.08336534092212906,0.001304756277197437,0.09496115681563075,0.001514213281948089,0.1364464222089104
33,0.06843989255699293,0.08352808257990071,0.0013482936196151758,0.1099139129476568,0.0015709776426260562,0.13563660966515864
34,0.05732814900301701,0.0858886521005922,0.0013261788900011267,0.08813271974353344,0.0016539503179481708,0.13869830136663158
35,0.06180445024018319,0.08240579728684995,0.0016932354579309433,0.08974419187534995,0.0015800303645728095,0.13321098944415216
36,0.05249349478197893,0.08104640141169986,0.0011202521444514646,0.0825819472330085,0.0015494336528164517,0.13110412570455557
37,0.05151582171450942,0.08346918478871332,0.0011110433750288324,0.08081077629265984,0.0016906603225082938,0.13312516353882686
38,0.05705449535386064,0.07849371496274177,0.0014862456668232392,0.08438407753979285,0.0015095389291040508,0.12679665214533958
