Epoch,Train Loss,Validation Loss
1,0.7337935604155064,0.5319533596436182
2,0.5674771677170481,0.4631168382863204
3,0.44937692170164417,0.4061126100520293
4,0.36548976307468756,0.3554424966375033
5,0.3096622672996351,0.3173807884256045
6,0.26943095766806174,0.2896595199902852
7,0.238880847713777,0.27274884345630807
8,0.21828156987404718,0.25585582852363586
9,0.20207247181263352,0.24345572851598263
10,0.18985567368300899,0.2360123631854852
11,0.18092560097907803,0.22832921954492727
12,0.17354522075038403,0.22029357279340425
13,0.16703518185698027,0.21644967359801134
14,0.16216200980956533,0.2137302135427793
15,0.1571869086141565,0.2100732233375311
16,0.15399431758227625,0.20602724949518839
17,0.15020714227908424,0.2040297289689382
18,0.14723361875595792,0.20213128129641214
19,0.14484774985716545,0.19854017781714597
20,0.14150746025344624,0.19833926670253277
21,0.1385774907373291,0.1959021141131719
22,0.13604424293485604,0.19664361824591955
23,0.13385742556835925,0.19551091579099497
24,0.13155750109165507,0.19438520694772402
25,0.12957362365601252,0.19418018124997616
26,0.12773248163284734,0.19403222762048244
27,0.1260668938048184,0.19267541791001955
28,0.12371274248913064,0.19255155387024084
29,0.12206127559017789,0.1923295029749473
30,0.1208239592607632,0.19159330427646637
