leaf_id,sequences,disease_r2,disease_rmse,lesion_r2,lesion_rmse,mean_disease,max_disease
ESWW0070020_1,11,0.8510036410520335,0.015000677746169484,0.9224017998189843,36085.743017947985,0.03364711457818182,0.12560244
ESWW0070023_10,4,,0.005133961642004118,,15942.943613872969,0.0,0.0
ESWW0070023_2,12,-1.247126074479822,0.015760897885344047,0.3599384255766176,28910.532208119836,0.00902474445,0.037807938
ESWW0070025_2,14,-16.96728386436338,0.012618405903290386,-5.915182155751152,20406.450072231662,0.002897886645,0.008874997
ESWW0070025_7,13,-15.623991702552086,0.006351052169789634,-8.044070665625187,12847.044647390128,0.0015024314549230767,0.0043499125
ESWW0070040_4,11,0.8036743764275375,0.04971232255884461,0.8488893718365513,115142.615567345,0.13769101499999997,0.44623008
ESWW0070044_2,12,0.7809473068686169,0.027240725589113904,0.8202365767477428,72201.12483582804,0.04098513895,0.21853246
ESWW0070044_3,14,0.8074176211506332,0.03609521281717371,0.8525242883533563,105074.7045628771,0.05589180828571429,0.31149828
ESWW0070044_7,14,0.9326152709372205,0.04865280344045466,0.8113581624298015,311675.1343110986,0.12303839842857142,0.67974156
ESWW0070054_1,13,0.9351641371324168,0.018949907157995854,0.9740773296320507,43305.930675040014,0.07957754407692308,0.25041732
ESWW0070054_11,14,0.8561612928666863,0.02407279747798101,0.8915037251339469,73568.36320712014,0.05641530268571428,0.2398844
ESWW0070057_6,11,-16.61196171781423,0.004776768221613146,-20.36649297150472,12802.050058075289,0.0006314951046727272,0.004027065
ESWW0070057_9,10,0.265911958288482,0.013402313588667187,0.7337570329614228,20555.64899290962,0.016077212722000002,0.04689816
ESWW0070063_10,14,0.9065817590436469,0.06700606050932313,0.8218058141985601,276635.68947272206,0.2040413662857143,0.83377486
ESWW0070063_8,14,0.9357547687672453,0.05766880242910488,0.7284140883061019,382481.8904718745,0.23380152550000002,0.7204392
